time,speed,steering,x_angle,y_angle,z_angle,imu_yaw_rate
1746616036.8316066,1.125599980354309,0.5235999822616577,-0.0123,0.0025,0.9218,1.9648
1746616036.8834002,1.3729000091552734,0.5235999822616577,-0.0123,0.0025,0.9218,1.9648
1746616036.8834527,1.3729000091552734,0.5235999822616577,-0.0123,0.0025,0.9218,1.9648
1746616036.8836164,1.3729000091552734,0.5235999822616577,-0.0124,0.0045,0.8984,2.3901
1746616036.935326,1.6452000141143799,0.5235999822616577,-0.0124,0.0045,0.8984,2.3901
1746616036.9353807,1.6452000141143799,0.4607999920845032,-0.0124,0.0045,0.8984,2.3901
1746616036.935545,1.6452000141143799,0.4607999920845032,-0.0129,0.0061,0.8682,2.474
1746616036.9873877,1.6452000141143799,0.38420000672340393,-0.0129,0.0061,0.8682,2.474
1746616036.9875183,1.909500002861023,0.38420000672340393,-0.0129,0.0061,0.8682,2.474
1746616036.987606,1.909500002861023,0.38420000672340393,-0.0132,0.0071,0.8374,2.3404
1746616037.039509,1.909500002861023,0.2978000044822693,-0.0132,0.0071,0.8374,2.3404
1746616037.0396414,2.201900005340576,0.2978000044822693,-0.0132,0.0071,0.8374,2.3404
1746616037.0397298,2.201900005340576,0.2978000044822693,-0.0137,0.0077,0.8028,2.0539
1746616037.091565,2.201900005340576,0.21809999644756317,-0.0137,0.0077,0.8028,2.0539
1746616037.0917075,2.3199000358581543,0.21809999644756317,-0.0137,0.0077,0.8028,2.0539
1746616037.091802,2.3199000358581543,0.21809999644756317,-0.0141,0.0072,0.7744,1.5641
1746616037.1476564,2.013200044631958,0.21809999644756317,-0.0141,0.0072,0.7744,1.5641
1746616037.1477144,2.013200044631958,0.1340000033378601,-0.0141,0.0072,0.7744,1.5641
1746616037.147884,2.013200044631958,0.1340000033378601,-0.0165,0.0019,0.7539,0.8261
1746616037.1995451,2.013200044631958,0.04809999838471413,-0.0165,0.0019,0.7539,0.8261
1746616037.1996875,1.6969000101089478,0.04809999838471413,-0.0165,0.0019,0.7539,0.8261
1746616037.1997807,1.6969000101089478,0.04809999838471413,-0.0174,-0.0034,0.7445,0.2509
1746616037.2556138,1.6969000101089478,0.0,-0.0174,-0.0034,0.7445,0.2509
1746616037.2557487,1.3960000276565552,0.0,-0.0174,-0.0034,0.7445,0.2509
1746616037.255838,1.3960000276565552,0.0,-0.0178,-0.0073,0.7433,-0.0034
1746616037.3114877,0.00839999970048666,0.0,-0.0178,-0.0073,0.7433,-0.0034
1746616037.3115401,0.00839999970048666,0.0,-0.0178,-0.0073,0.7433,-0.0034
1746616037.3117044,0.00839999970048666,0.0,-0.0194,0.0016,0.9831,-0.0014
1746616037.3590584,0.0020000000949949026,0.0,-0.0194,0.0016,0.9831,-0.0014
1746616037.359113,0.0020000000949949026,0.0,-0.0194,0.0016,0.9831,-0.0014
1746616037.3592842,0.0020000000949949026,0.0,-0.0191,0.0006,0.9831,-0.0013
1746616037.4111211,0.0015999999595806003,0.0,-0.0191,0.0006,0.9831,-0.0013
1746616037.41118,0.0015999999595806003,0.0,-0.0191,0.0006,0.9831,-0.0013
1746616037.4113522,0.0015999999595806003,0.0,-0.0183,-0.0002,0.9831,-0.001
1746616037.4631271,0.0015999999595806003,0.0,-0.0183,-0.0002,0.9831,-0.001
1746616037.4632623,0.0013000000035390258,0.0,-0.0183,-0.0002,0.9831,-0.001
1746616037.463346,0.0013000000035390258,0.0,-0.0177,-0.0007,0.9831,-0.0008
1746616037.519107,0.0013000000035390258,0.0,-0.0177,-0.0007,0.9831,-0.0008
1746616037.5192428,0.0010000000474974513,0.0,-0.0177,-0.0007,0.9831,-0.0008
1746616037.51933,0.0010000000474974513,0.0,-0.0171,-0.0012,0.9831,-0.0006
1746616037.5710921,0.0010000000474974513,0.0,-0.0171,-0.0012,0.9831,-0.0006
1746616037.9871705,0.16439999639987946,0.0,-0.0156,-0.0026,0.9831,-0.0001
1746616037.9872372,0.16439999639987946,0.0,-0.0156,-0.0026,0.9831,-0.0001
1746616037.9874613,0.16439999639987946,0.0,-0.0144,-0.0025,0.9832,0.0
1746616038.0352478,0.4083999991416931,0.0,-0.0144,-0.0025,0.9832,0.0
1746616038.0353184,0.4083999991416931,0.0,-0.0144,-0.0025,0.9832,0.0
1746616038.0355515,0.4083999991416931,0.0,-0.0121,-0.0021,0.9832,0.0
1746616038.0830855,0.6650000214576721,0.0,-0.0121,-0.0021,0.9832,0.0
1746616038.0831518,0.6650000214576721,0.0,-0.0121,-0.0021,0.9832,0.0
